Date,Date,Open,High,Low,Close,Adj Close,Volume
07-09-2016,42620,1249.849976,1249.849976,1211.5,1220.280029,1133.020752,3854040
08-09-2016,42621,1180,1180,1142.380005,1161.050049,1078.026123,7021516
09-09-2016,42622,1164.849976,1183.319946,1160.030029,1176.219971,1092.111328,2742438
12-09-2016,42625,1168.5,1181.969971,1162,1179.530029,1095.184448,2024454
14-09-2016,42627,1181,1188.800049,1155,1164.219971,1080.96936,2069858
15-09-2016,42628,1169.969971,1171.050049,1158.380005,1163.469971,1080.272827,2818964
16-09-2016,42629,1168.349976,1188,1160,1180.849976,1096.410156,4358004
19-09-2016,42632,1182.5,1213.5,1175,1205.719971,1119.501709,2802546
20-09-2016,42633,1205.5,1208.449951,1192.699951,1203.25,1117.208374,1184552
21-09-2016,42634,1203.849976,1212,1200.349976,1206.699951,1120.411621,1678020
22-09-2016,42635,1212.619995,1214,1185.550049,1189,1103.977295,2857574
23-09-2016,42636,1191,1201.930054,1185.569946,1199.050049,1113.308716,1800726
26-09-2016,42639,1200.550049,1209.550049,1197.5,1200.550049,1114.70166,1753476
27-09-2016,42640,1200.550049,1224,1200.550049,1218.050049,1130.950317,2038792
28-09-2016,42641,1215.5,1218.75,1207.599976,1211.530029,1124.896362,1731328
29-09-2016,42642,1217.5,1228.25,1209.800049,1218.900024,1131.739258,3603958
30-09-2016,42643,1218.530029,1224.900024,1211.550049,1215.400024,1128.489746,2175364
03-10-2016,42646,1225,1228.819946,1200.550049,1205.849976,1119.622559,1818880
04-10-2016,42647,1210,1212.530029,1199,1202.569946,1116.577148,1780718
05-10-2016,42648,1204,1207.699951,1188.050049,1193.180054,1107.858765,1176354
06-10-2016,42649,1197.5,1201.199951,1186.380005,1194.380005,1108.972778,2267572
07-10-2016,42650,1194,1194,1179.099976,1183.900024,1099.242065,1816512
10-10-2016,42653,1184.949951,1193.449951,1177.530029,1190.150024,1105.045044,1202142
13-10-2016,42656,1181.650024,1184.949951,1160.449951,1164.449951,1081.182983,5173334
14-10-2016,42657,1157.5,1193.5,1145.5,1183.099976,1098.49939,7741214
17-10-2016,42660,1184.449951,1187.900024,1172.199951,1181.219971,1096.753784,2728346
18-10-2016,42661,1188,1207.849976,1177.400024,1200.099976,1114.283569,2128632
19-10-2016,42662,1200.5,1205,1185.150024,1197.550049,1111.915771,1985058
20-10-2016,42663,1198.449951,1204.680054,1193,1200.569946,1114.720215,1265854
21-10-2016,42664,1200,1215.949951,1199.119995,1214.319946,1127.486816,1259660
24-10-2016,42667,1214.099976,1217.449951,1201.280029,1213.849976,1133.115845,1253190
25-10-2016,42668,1202.5,1207.300049,1190.5,1199.219971,1119.458862,1772466
26-10-2016,42669,1199.300049,1201.380005,1186.25,1198.119995,1118.432129,1437130
27-10-2016,42670,1189.849976,1214.75,1182.75,1209.050049,1128.635254,2941602
28-10-2016,42671,1205,1207.550049,1194,1199.349976,1119.580444,1752102
01-11-2016,42675,1199.849976,1199.849976,1167.069946,1175,1096.849731,2934776
02-11-2016,42676,1170.5,1172,1147.5,1152.030029,1075.407715,2325076
03-11-2016,42677,1147,1167.5,1142.25,1159.719971,1082.58606,1463310
04-11-2016,42678,1160,1168.069946,1147,1165.280029,1087.776367,1183752
07-11-2016,42681,1168.949951,1172.449951,1130.030029,1138.530029,1062.80542,2048052
08-11-2016,42682,1140.219971,1153.5,1130,1141.599976,1065.671021,1933634
09-11-2016,42683,1090,1137.5,1071.430054,1084.930054,1012.770386,4500226
10-11-2016,42684,1102.400024,1108.75,1070.400024,1077.719971,1006.040039,2172426
11-11-2016,42685,1073.530029,1073.530029,1043.099976,1050.569946,980.695557,2398424
15-11-2016,42689,1058.449951,1078.780029,1025.949951,1060.650024,990.105164,6290324
16-11-2016,42690,1072.550049,1104.449951,1069,1094.800049,1021.983765,4019958
17-11-2016,42691,1092.5,1104.300049,1065.069946,1068.599976,997.526611,2504688
18-11-2016,42692,1071,1075,1052.099976,1062.550049,991.878967,2140534
21-11-2016,42695,1063.099976,1070,1052.5,1066.449951,995.51947,1793366
22-11-2016,42696,1066,1088.719971,1061.030029,1067.5,996.499878,1318860
23-11-2016,42697,1074.5,1081.469971,1063.599976,1078.180054,1006.469421,1275808
24-11-2016,42698,1077.449951,1103.800049,1068.5,1094.219971,1021.442322,3026234
25-11-2016,42699,1106,1153.619995,1096.099976,1150.180054,1073.68042,4276148
28-11-2016,42702,1147,1159.719971,1125.949951,1141.300049,1065.391235,1924296
29-11-2016,42703,1137.5,1146,1126.280029,1129.930054,1054.777466,1442296
30-11-2016,42704,1132.5,1147.380005,1121.150024,1138.030029,1062.338745,3445832
01-12-2016,42705,1138.5,1145,1127.030029,1131.719971,1056.448364,1123052
02-12-2016,42706,1129,1135.400024,1102.599976,1110.930054,1037.040894,1998032
05-12-2016,42709,1114.5,1118.930054,1085,1093,1020.303589,2249526
06-12-2016,42710,1095,1101.969971,1084.949951,1091.180054,1018.604736,1593444
07-12-2016,42711,1091.099976,1092.219971,1072.819946,1077.280029,1005.629333,2065706
08-12-2016,42712,1080.25,1099.5,1080,1097.880005,1024.859375,3239546
09-12-2016,42713,1102.5,1109.949951,1086.650024,1097.619995,1024.616333,1588718
12-12-2016,42716,1097.400024,1108.800049,1081.5,1104.099976,1030.665405,1311758
13-12-2016,42717,1109,1109,1091.5,1100.150024,1026.978394,2147534
14-12-2016,42718,1107,1112.349976,1094.5,1103.800049,1030.385376,1870366
15-12-2016,42719,1101,1136.050049,1101,1129.650024,1054.516113,4295410
16-12-2016,42720,1138.5,1145,1126,1141.319946,1065.40979,1987230
19-12-2016,42723,1140,1148.849976,1130.650024,1144.449951,1068.331543,1334210
20-12-2016,42724,1146,1172.5,1143.530029,1169.650024,1091.855591,2922760
21-12-2016,42725,1171.900024,1171.900024,1152.800049,1156.800049,1079.860352,2034902
22-12-2016,42726,1153,1162.5,1143.099976,1153.849976,1077.106445,1868300
23-12-2016,42727,1150,1158.880005,1139.400024,1144.050049,1067.958374,1118954
26-12-2016,42730,1133,1150.800049,1133,1146.550049,1070.292114,897408
27-12-2016,42731,1140.75,1165,1140.75,1161.699951,1084.434326,1294692
28-12-2016,42732,1163.349976,1174.949951,1151.569946,1156.699951,1079.766724,1350418
29-12-2016,42733,1151.5,1179.949951,1151.5,1175.849976,1097.643311,1963516
30-12-2016,42734,1177.449951,1189.300049,1172.819946,1182.780029,1104.112427,1405748
02-01-2017,42737,1183.300049,1187.550049,1176.199951,1180.680054,1102.1521,823132
03-01-2017,42738,1180.619995,1185.849976,1171.650024,1184.119995,1105.363159,1475324
04-01-2017,42739,1184.849976,1194.430054,1179.150024,1189.75,1110.618896,1420066
05-01-2017,42740,1192,1194.969971,1160.199951,1167.199951,1089.568359,2216404
06-01-2017,42741,1160.5,1164.680054,1128.550049,1140.699951,1064.831177,3009896
09-01-2017,42744,1137.5,1155.650024,1128.5,1151.849976,1075.239502,1854578
10-01-2017,42745,1152,1164.900024,1145.75,1157.680054,1080.681885,1533914
11-01-2017,42746,1157.5,1164.800049,1140.099976,1162.199951,1084.901001,1931296
12-01-2017,42747,1162.199951,1180,1152,1172.180054,1094.217407,2570374
13-01-2017,42748,1174,1178.969971,1118.930054,1124.650024,1049.848511,10235580
16-01-2017,42751,1125,1136.949951,1114,1129.280029,1054.170654,3364808
17-01-2017,42752,1127.449951,1143.900024,1126.400024,1139.380005,1063.598755,3009956
18-01-2017,42753,1139,1149,1132.719971,1147.550049,1071.225586,3136574
19-01-2017,42754,1147.5,1147.569946,1141.469971,1145.5,1069.311768,2251676
20-01-2017,42755,1143.5,1150,1132.5,1142.680054,1066.679688,2037246
23-01-2017,42758,1132.5,1156.75,1129.900024,1153.349976,1082.799072,2318546
24-01-2017,42759,1152,1161.5,1145,1159.180054,1088.272339,2282638
25-01-2017,42760,1161.300049,1180,1159.030029,1176.5,1104.533081,4111648
27-01-2017,42762,1172.530029,1189.380005,1172.530029,1178.900024,1106.786255,2871658
30-01-2017,42765,1170.5,1175.969971,1159.069946,1166.449951,1095.097778,2577956
31-01-2017,42766,1160,1166.030029,1100.030029,1114.900024,1046.701172,4666804
01-02-2017,42767,1110,1119.969971,1077.780029,1083.949951,1017.644287,4864152
02-02-2017,42768,1085.030029,1109.5,1076.5,1103.819946,1036.298584,6009482
03-02-2017,42769,1104.849976,1121.5,1095.5,1116.280029,1047.996704,2153372
06-02-2017,42772,1129,1129.25,1107.469971,1120.380005,1051.845947,2408910
07-02-2017,42773,1122,1126.300049,1113,1122.300049,1053.64856,1814638
08-02-2017,42774,1122.449951,1141.300049,1122.030029,1135.469971,1066.012939,2212584
09-02-2017,42775,1137.5,1164,1135.099976,1158.650024,1087.775024,4033202
10-02-2017,42776,1155.5,1212.219971,1155.5,1198.969971,1125.628418,5782160
13-02-2017,42779,1198,1214.5,1191.180054,1207.119995,1133.279663,3819812
14-02-2017,42780,1209.819946,1209.819946,1199,1203.119995,1129.524536,2033328
15-02-2017,42781,1198.5,1214,1187.550049,1206.849976,1133.026245,1924972
16-02-2017,42782,1230,1239,1217.800049,1223.880005,1149.014771,4175680
17-02-2017,42783,1236,1237.800049,1201,1203.949951,1130.303833,2723324
20-02-2017,42786,1212.5,1277.5,1204.050049,1251.099976,1174.569458,3973948
21-02-2017,42787,1257,1262.949951,1227.569946,1232.680054,1157.276733,5501112
22-02-2017,42788,1232.949951,1235,1200.069946,1205.75,1131.993896,4505496
23-02-2017,42789,1207.5,1246.619995,1207.5,1240.900024,1164.993652,4853352
27-02-2017,42793,1239.550049,1251,1235.030029,1244.930054,1168.777222,2139892
28-02-2017,42794,1244.75,1245,1225,1233.119995,1157.689453,2354828
01-03-2017,42795,1239.949951,1250.949951,1235,1239.780029,1163.942139,1130374
02-03-2017,42796,1243.349976,1255,1235.030029,1250.719971,1174.212891,1544942
03-03-2017,42797,1246,1249.849976,1237.699951,1247.030029,1170.748779,1013970
06-03-2017,42800,1240,1242,1227.280029,1236.25,1160.628052,1400694
07-03-2017,42801,1241.449951,1252.5,1237.530029,1249.900024,1173.442993,1511672
08-03-2017,42802,1251,1260,1246.099976,1256.099976,1179.263794,1791510
09-03-2017,42803,1257.069946,1262,1252.030029,1259.880005,1182.8125,858468
10-03-2017,42804,1259.800049,1274.780029,1256.969971,1271.119995,1193.364868,1171420
14-03-2017,42808,1278.400024,1293.569946,1275.530029,1283.75,1205.222412,3402294
